date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:07:04	71081/71081	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:05%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-73-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-73-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:05	75070/75070	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:05%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-67-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-67-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:06	170736/170736	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:06%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-69-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-69-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:06	67943/67943	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:06%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-70-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-70-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:06	49692/49692	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:07%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-76-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-76-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:12	97442/97442	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:08%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-71-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-71-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:13	59311/59311	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:14%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-66-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-66-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:14	65906/65906	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:14%20GMT	https://htmldemo.net/airi/airi/assets/img/products/prod-68-1275x1275.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/products/prod-68-1275x1275.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:15	56463/56463	---MC-	200	added ('OK')	image/png	date:Tue,%2004%20Oct%202022%2001:07:15%20GMT	https://htmldemo.net/airi/airi/assets/img/banner/m21-bg-4.png	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/banner/m21-bg-4.png	(from https://htmldemo.net/airi/airi/index-22.html)
07:07:15	22182/22182	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Oct%202022%2001:07:16%20GMT	https://htmldemo.net/airi/airi/assets/img/banner/m21-bg-6.jpg	C:/Users/Sourov/Desktop/02/htmldemo.net/airi/airi/assets/img/banner/m21-bg-6.jpg	(from https://htmldemo.net/airi/airi/index-22.html)
